"STATION","NAME","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-05","5.59","0.00",,"0.0","0.0","94","111","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-06","10.51","0.00",,"0.0","0.0","91","102","79",,,,,,,,"    1",,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-07","6.49","0.00",,"0.0","0.0","83","97","69",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-08","6.93","0.00",,"0.0","0.0","82","92","71",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-09","5.59","0.00",,"0.0","0.0","86","96","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-10","6.71","0.00",,"0.0","0.0","87","99","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-11","8.95","0.00",,"0.0","0.0","88","100","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-12","9.40","0.30",,"0.0","0.0","85","99","70",,,"    1",,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-13","8.50","0.02",,"0.0","0.0","82","93","70",,,"    1",,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-14","5.59","1.24",,"0.0","0.0","83","94","72","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-15","5.37","0.00",,"0.0","0.0","85","96","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-16","8.95","0.00",,"0.0","0.0","81","93","69",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-17","5.59","0.00",,"0.0","0.0","74","90","57",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-18","4.47","0.00",,"0.0","0.0","73","91","55",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-19","7.83","0.00",,"0.0","0.0","78","94","62",,,,,,,,"    1",,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-20","5.37","0.00",,"0.0","0.0","82","95","68",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-21","9.62","0.00",,"0.0","0.0","82","89","75",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-22","10.51","0.00",,"0.0","0.0","87","98","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-23","14.09","0.00",,"0.0","0.0","89","99","79",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-24","10.74","1.09",,"0.0","0.0","79","97","61","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-25","12.30","0.00",,"0.0","0.0","65","74","55",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-26","5.59","0.00",,"0.0","0.0","63","78","48",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-27","4.92","0.00",,"0.0","0.0","65","82","48",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-28","4.92","0.00",,"0.0","0.0","68","85","51",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-29","4.70","0.00",,"0.0","0.0","69","86","51",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-30","3.80","0.00",,"0.0","0.0","70","86","53",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-01","3.13","0.00",,"0.0","0.0","71","87","55",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-02","8.28","0.00",,"0.0","0.0","79","92","66","    1",,,,,,,,,,"    1",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-03","11.18","0.00",,"0.0","0.0","83","92","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-04","9.40","0.00",,"0.0","0.0","83","92","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-05","9.17","0.00",,"0.0","0.0","84","93","74",,,"    1",,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-06","12.08","0.01",,"0.0","0.0","70","80","60",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-07","14.54","0.78",,"0.0","0.0","53","60","46","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-08","8.50","0.77",,"0.0","0.0","44","46","42","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-09","6.26","0.90",,"0.0","0.0","43","46","40","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-10","4.03","0.01",,"0.0","0.0","50","57","43",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-11","7.83","0.01",,"0.0","0.0","59","65","53","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-12","7.83","0.01",,"0.0","0.0","69","77","60","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-13","7.38","0.00",,"0.0","0.0","71","82","59","    1",,,,,,,,,,"    1",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-14","6.71","0.00",,"0.0","0.0","71","81","61","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-15","7.61","0.00",,"0.0","0.0","77","85","69","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-16","6.71","0.00",,"0.0","0.0","79","86","71",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-17","6.04","1.82",,"0.0","0.0","71","78","64","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-18","4.25","0.01",,"0.0","0.0","71","79","63",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-19","5.37","0.01",,"0.0","0.0","72","80","64",,,,,,,,"    1",,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-20","6.04","0.15",,"0.0","0.0","73","79","66",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-21","8.05","0.41",,"0.0","0.0","74","80","68","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-22","10.51","0.09",,"0.0","0.0","77","84","70","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-23","11.18","0.56",,"0.0","0.0","77","81","72","    1",,"    1",,,,,,,,"    1",,,"    1",,,
