"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT06","WT08"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-08","7.83"," 1443","0.00",,"71","45",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-09","10.29"," 1505","0.00",,"74","47",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-11","16.11"," 1224","0.00",,"70","54","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-12","11.86"," 0802","0.00",,"67","43",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-13","7.61"," 1545","0.00",,"71","39",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-14","6.71"," 1718","0.00",,"73","36",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-15","10.51"," 1138","0.00",,"75","43","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-16","5.82"," 1412","0.00",,"88","62","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-17","10.74"," 1746","0.00",,"85","60","    1",,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-18","6.04"," 1904","0.00",,"84","64","    1",,,,
